entry_time,exit_time,symbol,range_pos,whale_size,whale_ratio,entry_price,exit_price,peak_price,pnl_pct,hold_min,reason
2026-07-21T06:19:26.554778+09:00,2026-07-21T11:26:00.555851+09:00,MON,0.19,5625811,123.1,33.98,32.95,34.15,-3.03,307,손절-3.0%
2026-07-21T09:55:22.914132+09:00,2026-07-21T11:38:43.765030+09:00,CAMP,0.14,3261568,29.3,0.7858,0.7812,0.826,-0.59,103,트레일(고점+5.1%)
2026-07-21T10:40:50.173612+09:00,2026-07-21T11:48:49.761508+09:00,HAEDAL,0.10,5986461,69.7,24.33,23.54,24.43,-3.25,68,손절-3.0%
2026-07-20T20:51:45.291603+09:00,2026-07-21T12:01:29.724757+09:00,TRAC,0.00,4383680,13.0,433,510,543,+17.78,910,트레일(고점+25.4%)
2026-07-20T13:24:34.008129+09:00,2026-07-21T12:11:39.319452+09:00,PROMPT,0.17,3428322,617.2,27.54,30.08,31.47,+9.22,1367,트레일(고점+14.3%)
2026-07-21T10:54:16.115658+09:00,2026-07-21T12:17:31.559397+09:00,GWEI,0.25,5682106,12.2,41.73,39.86,41.8,-4.48,83,손절-3.0%
2026-07-20T21:45:06.601278+09:00,2026-07-21T12:21:52.350139+09:00,XAN,0.20,5368987,103.3,19.88,20.26,21.33,+1.91,877,트레일(고점+7.3%)
2026-07-21T10:36:44.766171+09:00,2026-07-21T12:33:08.068736+09:00,EDGE,0.00,3545548,150.7,104,110,116,+5.77,116,트레일(고점+11.5%)
2026-07-21T12:32:00.845695+09:00,2026-07-21T12:34:36.118067+09:00,CAMP,0.16,3146303,32.1,0.7748,0.7489,0.7798,-3.34,3,손절-3.0%
2026-07-21T12:22:13.447134+09:00,2026-07-21T12:35:20.046716+09:00,XAN,0.20,5368987,103.3,20.19,19.05,20.19,-5.65,13,손절-3.0%
2026-07-20T12:36:44.045105+09:00,2026-07-21T12:36:45.835111+09:00,FRAX,0.27,5397102,9.1,380,401,407,+5.53,1440,타임아웃24h
2026-07-21T12:34:34.395785+09:00,2026-07-21T12:45:55.205474+09:00,TRAC,0.23,3616435,18.5,483,467,485,-3.31,11,손절-3.0%
2026-07-21T11:34:34.974179+09:00,2026-07-21T12:58:42.288663+09:00,ZIL,0.00,8099103,32.2,4.079,3.95,4.139,-3.16,84,손절-3.0%
2026-07-21T12:12:01.041953+09:00,2026-07-21T13:00:54.221205+09:00,PROMPT,0.17,3428322,617.2,29.94,29.03,30.03,-3.04,49,손절-3.0%
2026-07-21T12:36:45.818423+09:00,2026-07-21T13:01:16.137572+09:00,EDGE,0.00,3545548,150.7,103,99.33,106,-3.56,25,손절-3.0%
2026-07-21T08:36:16.030153+09:00,2026-07-21T13:03:27.180842+09:00,BONK,0.25,8126984,38.7,0.0049,0.0047,0.0049,-4.08,267,손절-3.0%
