exit_time,coin,lead,entry,exit,pnl_pct,reason,strong
2026-07-01 08:50:34,TAIKO,1.80,142.0000,141.0000,-0.70,타임아웃15분,False
2026-07-01 08:55:59,CBK,2.26,269.0000,269.0000,+0.00,트레일(고점+1.1%),False
2026-07-01 09:00:51,ONG,1.97,72.1000,72.6900,+0.82,트레일(고점+2.6%),False
2026-07-01 09:00:54,GAS,1.93,1587.0000,1585.0000,-0.13,트레일(고점+1.1%),False
2026-07-01 09:02:02,ONG,4.38,72.1300,72.5000,+0.51,트레일(고점+1.6%),True
2026-07-01 09:02:43,LA,2.51,94.2900,94.4100,+0.13,트레일(고점+2.4%),False
2026-07-01 09:02:58,XPL,1.53,132.0000,131.0000,-0.76,타임아웃15분,False
2026-07-01 09:03:05,TAIKO,2.57,139.0000,140.0000,+0.72,트레일(고점+2.2%),False
2026-07-01 09:03:37,MOC,1.76,27.2800,27.3500,+0.26,트레일(고점+1.5%),False
2026-07-01 09:03:48,MOC,2.26,27.7100,27.2800,-1.55,손절-1.5%,False
2026-07-01 09:05:22,IN,2.80,108.0000,111.0000,+2.78,트레일(고점+4.6%),False
2026-07-01 09:07:06,ONG,2.97,71.2500,70.7300,-0.73,트레일(고점+2.0%),False
2026-07-01 09:14:34,MOC,2.87,27.3100,27.5100,+0.73,트레일(고점+2.3%),False
2026-07-01 09:21:48,MOC,1.66,28.3600,28.6600,+1.06,트레일(고점+2.2%),False
2026-07-01 09:23:35,MOC,1.94,28.9100,28.8400,-0.24,트레일(고점+1.3%),False
2026-07-01 09:25:05,IN,3.81,106.0000,104.0000,-1.89,손절-1.5%,True
2026-07-01 09:27:19,ONG,1.56,76.6400,76.5800,-0.08,트레일(고점+1.1%),False
2026-07-01 09:28:04,EDGE,1.79,114.0000,112.0000,-1.75,손절-1.5%,False
2026-07-01 09:29:26,TAIKO,1.87,140.0000,143.0000,+2.14,트레일(고점+3.6%),False
2026-07-01 09:31:15,MOC,2.30,32.9400,34.0000,+3.22,트레일(고점+4.4%),False
2026-07-01 09:32:53,MOC,1.66,33.7600,33.0300,-2.16,손절-1.5%,False
2026-07-01 09:32:59,TAIKO,1.72,144.0000,147.0000,+2.08,트레일(고점+3.5%),False
2026-07-01 09:33:27,MOC,4.38,33.0200,33.0300,+0.03,트레일(고점+1.4%),True
2026-07-01 09:34:39,TAIKO,2.36,150.0000,150.0000,+0.00,트레일(고점+1.3%),False
2026-07-01 09:35:00,TAIKO,1.65,150.0000,150.0000,+0.00,트레일(고점+1.3%),False
2026-07-01 09:36:18,TAIKO,2.30,150.0000,154.0000,+2.67,트레일(고점+4.0%),False
2026-07-01 09:38:03,TAIKO,1.60,162.0000,166.0000,+2.47,트레일(고점+4.3%),False
