entry_date,exit_date,symbol,coin,entry_price,exit_price,mom_pct_at_entry,notional_usdt,pnl_pct,pnl_usdt,reason,hold_days,mfe_pct,mae_pct
2025-08-09,2025-08-14,SOONUSDT,SOON,480.0,478.0,140.0,30.0,-0.4167,-0.125,트레일(최고27%->-0%),5,27.5,-0.42
2025-08-09,2025-08-14,MAGICUSDT,MAGIC,390.0,340.0,59.84,30.0,-12.8205,-3.8462,랭크아웃(Top3이탈),5,0.0,-12.82
2025-08-11,2025-08-14,ENAUSDT,ENA,1102.0,1044.0,55.87,30.0,-5.2632,-1.5789,랭크아웃(Top3이탈),3,0.0,-5.26
2025-08-14,2025-08-15,AEROUSDT,AERO,1868.0,1906.0,59.52,30.0,2.0343,0.6103,랭크아웃(Top3이탈),1,2.03,-0.0
2025-08-14,2025-08-17,SKLUSDT,SKL,62.2,48.12,107.47,30.0,-22.6367,-6.791,스탑-20%,3,0.0,-22.64
2025-08-14,2025-08-18,SOONUSDT,SOON,478.0,377.0,143.88,30.0,-21.1297,-6.3389,스탑-20%,4,0.0,-21.13
2025-08-15,2025-08-18,MAGICUSDT,MAGIC,375.0,340.0,72.81,30.0,-9.3333,-2.8,랭크아웃(Top3이탈),3,0.0,-9.33
2025-08-18,2025-08-20,SKLUSDT,SKL,50.75,42.62,73.44,30.0,-16.0197,-4.8059,랭크아웃(Top3이탈),2,0.0,-16.02
2025-08-20,2025-08-21,MAGICUSDT,MAGIC,322.0,325.0,58.62,30.0,0.9317,0.2795,랭크아웃(Top3이탈),1,0.93,-0.0
2025-08-18,2025-08-22,SOONUSDT,SOON,377.0,371.0,91.37,30.0,-1.5915,-0.4775,랭크아웃(Top3이탈),4,1.59,-2.65
2025-08-21,2025-08-24,SKLUSDT,SKL,44.47,45.45,63.97,30.0,2.2037,0.6611,랭크아웃(Top3이탈),3,9.58,-0.0
2025-08-24,2025-08-26,XTERUSDT,XTER,274.0,196.0,112.4,30.0,-28.4672,-8.5401,스탑-20%,2,0.0,-28.47
2025-08-22,2025-08-27,FLOCKUSDT,FLOCK,412.0,457.0,83.11,30.0,10.9223,3.2767,트레일(최고38%->11%),5,37.86,-0.0
2025-08-26,2025-08-27,XTERUSDT,XTER,196.0,173.0,54.33,30.0,-11.7347,-3.5204,랭크아웃(Top3이탈),1,0.0,-11.73
2025-08-17,2025-08-28,AEROUSDT,AERO,2009.0,1717.0,67.7,30.0,-14.5346,-4.3604,랭크아웃(Top3이탈),11,7.27,-14.53
2025-08-27,2025-08-28,FLOCKUSDT,FLOCK,457.0,353.0,98.7,30.0,-22.7571,-6.8271,스탑-20%,1,0.0,-22.76
2025-08-27,2025-08-31,SKLUSDT,SKL,39.16,42.4,40.76,30.0,8.2737,2.4821,트레일(최고27%->8%),4,26.94,-6.95
2025-08-28,2025-09-01,RLCUSDT,RLC,1971.0,1685.0,43.55,30.0,-14.5104,-4.3531,랭크아웃(Top3이탈),4,0.0,-15.73
2025-08-31,2025-09-02,SKLUSDT,SKL,42.4,41.84,47.53,30.0,-1.3208,-0.3962,랭크아웃(Top3이탈),2,3.73,-1.32
2025-09-02,2025-09-05,MERLUSDT,MERL,191.0,210.0,22.44,30.0,9.9476,2.9843,랭크아웃(Top3이탈),3,19.9,-0.0
2025-08-28,2025-09-08,FLOCKUSDT,FLOCK,353.0,369.0,51.5,30.0,4.5326,1.3598,랭크아웃(Top3이탈),11,17.56,-2.55
2025-09-05,2025-09-09,REDUSDT,RED,951.0,904.0,80.11,30.0,-4.9422,-1.4826,랭크아웃(Top3이탈),4,8.62,-5.57
2025-09-09,2025-09-10,FLOCKUSDT,FLOCK,587.0,526.0,132.94,30.0,-10.3918,-3.1175,랭크아웃(Top3이탈),1,0.0,-10.39
2025-09-01,2025-09-11,IPUSDT,IP,10610.0,13770.0,33.63,30.0,29.7832,8.935,트레일(최고45%->30%),10,44.67,-0.94
2025-09-08,2025-09-11,WLDUSDT,WLD,2073.0,2252.0,61.07,30.0,8.6348,2.5904,트레일(최고26%->9%),3,25.52,-0.0
2025-09-10,2025-09-11,REDUSDT,RED,900.0,842.0,67.29,30.0,-6.4444,-1.9333,랭크아웃(Top3이탈),1,0.0,-6.44
2025-09-11,2025-09-12,EPTUSDT,EPT,9.324,8.622,54.47,30.0,-7.529,-2.2587,랭크아웃(Top3이탈),1,0.0,-7.53
2025-09-12,2025-09-13,REDUSDT,RED,845.0,856.0,47.99,30.0,1.3018,0.3905,랭크아웃(Top3이탈),1,1.3,-0.0
2025-09-11,2025-09-14,IPUSDT,IP,13770.0,13530.0,67.82,30.0,-1.7429,-0.5229,랭크아웃(Top3이탈),3,0.0,-2.69
2025-09-13,2025-09-15,HUSDT,H,85.8,62.39,109.68,30.0,-27.2844,-8.1853,스탑-20%,2,0.0,-27.28
2025-09-14,2025-09-16,PEAQUSDT,PEAQ,165.0,134.0,70.0,30.0,-18.7879,-5.6364,랭크아웃(Top3이탈),2,0.0,-18.79
2025-09-15,2025-09-18,IPUSDT,IP,13390.0,14080.0,65.72,30.0,5.1531,1.5459,랭크아웃(Top3이탈),3,5.15,-0.0
2025-09-11,2025-09-20,WLDUSDT,WLD,2252.0,2138.0,66.2,30.0,-5.0622,-1.5187,랭크아웃(Top3이탈),9,0.53,-6.97
2025-09-20,2025-09-21,PEAQUSDT,PEAQ,162.0,172.0,84.89,30.0,6.1728,1.8519,랭크아웃(Top3이탈),1,6.17,-0.0
2025-09-21,2025-09-22,THEUSDT,THE,937.0,700.0,101.94,30.0,-25.2935,-7.588,스탑-20%,1,0.0,-25.29
2025-09-16,2025-09-23,HUSDT,H,64.18,69.23,60.53,30.0,7.8685,2.3605,트레일(최고30%->8%),7,30.1,-0.0
2025-09-23,2025-09-24,BLUEUSDT,BLUE,155.0,140.0,64.46,30.0,-9.6774,-2.9032,랭크아웃(Top3이탈),1,0.0,-9.68
2025-09-18,2025-09-25,MERLUSDT,MERL,276.0,407.0,76.92,30.0,47.4638,14.2391,트레일(최고72%->47%),7,72.46,-0.36
